,Unnamed: 0,Question,Name,Profile,Price,Ram/Storage,OS,Display,DailyUse,Camera,Battery,resp.id,choice
5,39,2,Samsung Galaxy S10 Lite,3,400,8/128,Android,High,High,Medium,High,3,1
6,10,3,Sony Xperia 5 II,1,900,8/128,Android,High,High,High,Medium,3,0
7,16,3,Poco X3 ,2,300,8/128,Android,Medium,Medium,Medium,High,3,1
8,34,3,Motorola Razr 5G,3,1300,12/256,Android,Medium,Medium,Low,Low,3,0
9,33,4,Samsung Galaxy S20 Ultra,1,1400,12/256,Android,High,Medium,High,Low,3,0
10,32,4,Honor 9X Pro,2,300,8/128,Android,Medium,Medium,Medium,High,3,1
11,11,4,Motorola Moto G9 Plus,3,200,4/64,Android,Low,Medium,Medium,High,3,0
12,15,5,Xiaomi Mi 10 Lite,1,200,4/64,Android,High,High,Medium,High,3,1
13,38,5,Samsung Galaxy A21s,2,200,4/64,Android,Low,Medium,Medium,High,3,0
14,30,5,Samsung Galaxy A31,3,300,4/64,Android,High,Medium,Low,High,3,0
15,23,6,Oppo Reno 4 Pro,1,700,12/256,Android,High,High,Medium,High,3,0
16,35,6,Google Pixel 4A,2,500,8/128,Android,High,High,Medium,Low,3,0
17,13,6,Xiaomi Mi 10T,3,500,8/128,Android,Medium,High,Medium,Medium,3,1
18,27,7,Asus Zenfone 7,1,600,8/128,Android,Medium,Medium,Medium,Medium,3,0
19,8,7,OnePlus NORD,2,400,8/128,Android,High,High,Medium,Medium,3,1
20,2,7,Apple iPhone 12,3,1000,8/128,iOS,High,High,High,Medium,3,0
21,24,8,Google Pixel 5,1,900,8/128,Android,Medium,High,High,High,3,0
22,29,8,Poco M3,2,200,4/64,Android,Low,Low,Low,High,3,0
23,21,8,Huawei P40,3,400,8/128,Android,Medium,Medium,Medium,High,3,1
24,5,9,Samsung Galaxy Z Flip,1,900,12/256,Android,Medium,Medium,High,Medium,3,0
25,12,9,Motorola Edge,2,400,8/128,Android,High,Medium,Medium,High,3,0
26,22,9,Huawei P40 Lite 5G,3,200,8/128,Android,Medium,Medium,Medium,High,3,1
27,6,10,Samsung Galaxy S20 FE 5G,1,600,8/128,Android,High,High,High,Medium,3,1
28,18,10,Redmi Note 9,2,200,4/64,Android,Low,Low,Low,High,3,0
29,25,10,LG Wing,3,1100,8/128,Android,High,Medium,Medium,Medium,3,0
30,17,11,Poco F2 Pro,1,400,8/128,Android,Medium,Medium,Medium,High,3,0
31,36,11,Oppo Find X2 Neo,2,500,12/256,Android,High,High,Medium,Medium,3,1
32,28,11,Asus ROG Phone 3,3,800,12/256,Android,High,Medium,Medium,High,3,0
33,4,12,Samsung Galaxy Note 20 Ultra,1,1200,12/256,Android,High,Medium,High,Low,3,0
34,1,12,Apple iPhone 12 Pro Max,2,1200,12/256,iOS,High,Medium,High,Medium,3,0
35,7,12,Samsung Galaxy Z Fold 2,3,1400,12/256,Android,High,High,Medium,Medium,3,1
36,9,13,OnePlus 8 Pro,1,800,12/256,Android,High,High,High,Medium,3,0
37,3,13,Apple iPhone 12 Mini,2,700,4/64,iOS,High,High,High,Medium,3,0
38,19,13,Realme X50 Pro,3,500,8/128,Android,High,High,Low,Medium,3,1
0,31,1,Xiaomi Mi Note 10 Lite,1,300,8/128,Android,High,High,Medium,High,4,1
1,37,1,Redmi Note 9 Pro,2,200,4/64,Android,Medium,Medium,Medium,High,4,0
2,14,1,Xiaomi Mi 10,3,500,8/128,Android,Medium,High,Medium,Medium,4,0
3,20,2,Realme 7 Pro,1,300,8/128,Android,High,Medium,Low,High,4,0
4,26,2,LG Velvet,2,400,8/128,Android,Medium,High,Medium,Low,4,0
5,39,2,Samsung Galaxy S10 Lite,3,400,8/128,Android,High,High,Medium,High,4,1
6,10,3,Sony Xperia 5 II,1,900,8/128,Android,High,High,High,Medium,4,0
7,16,3,Poco X3 ,2,300,8/128,Android,Medium,Medium,Medium,High,4,1
8,34,3,Motorola Razr 5G,3,1300,12/256,Android,Medium,Medium,Low,Low,4,0
9,33,4,Samsung Galaxy S20 Ultra,1,1400,12/256,Android,High,Medium,High,Low,4,0
10,32,4,Honor 9X Pro,2,300,8/128,Android,Medium,Medium,Medium,High,4,1
11,11,4,Motorola Moto G9 Plus,3,200,4/64,Android,Low,Medium,Medium,High,4,0
12,15,5,Xiaomi Mi 10 Lite,1,200,4/64,Android,High,High,Medium,High,4,0
13,38,5,Samsung Galaxy A21s,2,200,4/64,Android,Low,Medium,Medium,High,4,1
14,30,5,Samsung Galaxy A31,3,300,4/64,Android,High,Medium,Low,High,4,0
15,23,6,Oppo Reno 4 Pro,1,700,12/256,Android,High,High,Medium,High,4,0
16,35,6,Google Pixel 4A,2,500,8/128,Android,High,High,Medium,Low,4,0
17,13,6,Xiaomi Mi 10T,3,500,8/128,Android,Medium,High,Medium,Medium,4,1
18,27,7,Asus Zenfone 7,1,600,8/128,Android,Medium,Medium,Medium,Medium,4,0
19,8,7,OnePlus NORD,2,400,8/128,Android,High,High,Medium,Medium,4,1
20,2,7,Apple iPhone 12,3,1000,8/128,iOS,High,High,High,Medium,4,0
21,24,8,Google Pixel 5,1,900,8/128,Android,Medium,High,High,High,4,0
22,29,8,Poco M3,2,200,4/64,Android,Low,Low,Low,High,4,0
23,21,8,Huawei P40,3,400,8/128,Android,Medium,Medium,Medium,High,4,1
24,5,9,Samsung Galaxy Z Flip,1,900,12/256,Android,Medium,Medium,High,Medium,4,0
25,12,9,Motorola Edge,2,400,8/128,Android,High,Medium,Medium,High,4,0
26,22,9,Huawei P40 Lite 5G,3,200,8/128,Android,Medium,Medium,Medium,High,4,1
27,6,10,Samsung Galaxy S20 FE 5G,1,600,8/128,Android,High,High,High,Medium,4,1
28,18,10,Redmi Note 9,2,200,4/64,Android,Low,Low,Low,High,4,0
29,25,10,LG Wing,3,1100,8/128,Android,High,Medium,Medium,Medium,4,0
30,17,11,Poco F2 Pro,1,400,8/128,Android,Medium,Medium,Medium,High,4,0
31,36,11,Oppo Find X2 Neo,2,500,12/256,Android,High,High,Medium,Medium,4,1
32,28,11,Asus ROG Phone 3,3,800,12/256,Android,High,Medium,Medium,High,4,0
33,4,12,Samsung Galaxy Note 20 Ultra,1,1200,12/256,Android,High,Medium,High,Low,4,0
34,1,12,Apple iPhone 12 Pro Max,2,1200,12/256,iOS,High,Medium,High,Medium,4,0
35,7,12,Samsung Galaxy Z Fold 2,3,1400,12/256,Android,High,High,Medium,Medium,4,1
36,9,13,OnePlus 8 Pro,1,800,12/256,Android,High,High,High,Medium,4,0
37,3,13,Apple iPhone 12 Mini,2,700,4/64,iOS,High,High,High,Medium,4,0
38,19,13,Realme X50 Pro,3,500,8/128,Android,High,High,Low,Medium,4,1
0,31,1,Xiaomi Mi Note 10 Lite,1,300,8/128,Android,High,High,Medium,High,5,0
1,37,1,Redmi Note 9 Pro,2,200,4/64,Android,Medium,Medium,Medium,High,5,1
2,14,1,Xiaomi Mi 10,3,500,8/128,Android,Medium,High,Medium,Medium,5,0
3,20,2,Realme 7 Pro,1,300,8/128,Android,High,Medium,Low,High,5,0
4,26,2,LG Velvet,2,400,8/128,Android,Medium,High,Medium,Low,5,0
5,39,2,Samsung Galaxy S10 Lite,3,400,8/128,Android,High,High,Medium,High,5,1
6,10,3,Sony Xperia 5 II,1,900,8/128,Android,High,High,High,Medium,5,0
7,16,3,Poco X3 ,2,300,8/128,Android,Medium,Medium,Medium,High,5,1
8,34,3,Motorola Razr 5G,3,1300,12/256,Android,Medium,Medium,Low,Low,5,0
9,33,4,Samsung Galaxy S20 Ultra,1,1400,12/256,Android,High,Medium,High,Low,5,0
10,32,4,Honor 9X Pro,2,300,8/128,Android,Medium,Medium,Medium,High,5,0
11,11,4,Motorola Moto G9 Plus,3,200,4/64,Android,Low,Medium,Medium,High,5,1
12,15,5,Xiaomi Mi 10 Lite,1,200,4/64,Android,High,High,Medium,High,5,1
13,38,5,Samsung Galaxy A21s,2,200,4/64,Android,Low,Medium,Medium,High,5,0
14,30,5,Samsung Galaxy A31,3,300,4/64,Android,High,Medium,Low,High,5,0
15,23,6,Oppo Reno 4 Pro,1,700,12/256,Android,High,High,Medium,High,5,1
16,35,6,Google Pixel 4A,2,500,8/128,Android,High,High,Medium,Low,5,0
17,13,6,Xiaomi Mi 10T,3,500,8/128,Android,Medium,High,Medium,Medium,5,0
18,27,7,Asus Zenfone 7,1,600,8/128,Android,Medium,Medium,Medium,Medium,5,0
19,8,7,OnePlus NORD,2,400,8/128,Android,High,High,Medium,Medium,5,1
20,2,7,Apple iPhone 12,3,1000,8/128,iOS,High,High,High,Medium,5,0
21,24,8,Google Pixel 5,1,900,8/128,Android,Medium,High,High,High,5,0
22,29,8,Poco M3,2,200,4/64,Android,Low,Low,Low,High,5,0
23,21,8,Huawei P40,3,400,8/128,Android,Medium,Medium,Medium,High,5,1
24,5,9,Samsung Galaxy Z Flip,1,900,12/256,Android,Medium,Medium,High,Medium,5,0
25,12,9,Motorola Edge,2,400,8/128,Android,High,Medium,Medium,High,5,0
26,22,9,Huawei P40 Lite 5G,3,200,8/128,Android,Medium,Medium,Medium,High,5,1
27,6,10,Samsung Galaxy S20 FE 5G,1,600,8/128,Android,High,High,High,Medium,5,0
28,18,10,Redmi Note 9,2,200,4/64,Android,Low,Low,Low,High,5,1
29,25,10,LG Wing,3,1100,8/128,Android,High,Medium,Medium,Medium,5,0
30,17,11,Poco F2 Pro,1,400,8/128,Android,Medium,Medium,Medium,High,5,1
31,36,11,Oppo Find X2 Neo,2,500,12/256,Android,High,High,Medium,Medium,5,0
32,28,11,Asus ROG Phone 3,3,800,12/256,Android,High,Medium,Medium,High,5,0
33,4,12,Samsung Galaxy Note 20 Ultra,1,1200,12/256,Android,High,Medium,High,Low,5,0
34,1,12,Apple iPhone 12 Pro Max,2,1200,12/256,iOS,High,Medium,High,Medium,5,1
35,7,12,Samsung Galaxy Z Fold 2,3,1400,12/256,Android,High,High,Medium,Medium,5,0
36,9,13,OnePlus 8 Pro,1,800,12/256,Android,High,High,High,Medium,5,0
37,3,13,Apple iPhone 12 Mini,2,700,4/64,iOS,High,High,High,Medium,5,0
38,19,13,Realme X50 Pro,3,500,8/128,Android,High,High,Low,Medium,5,1
0,31,1,Xiaomi Mi Note 10 Lite,1,300,8/128,Android,High,High,Medium,High,6,1
1,37,1,Redmi Note 9 Pro,2,200,4/64,Android,Medium,Medium,Medium,High,6,0
2,14,1,Xiaomi Mi 10,3,500,8/128,Android,Medium,High,Medium,Medium,6,0
3,20,2,Realme 7 Pro,1,300,8/128,Android,High,Medium,Low,High,6,1
4,26,2,LG Velvet,2,400,8/128,Android,Medium,High,Medium,Low,6,0
5,39,2,Samsung Galaxy S10 Lite,3,400,8/128,Android,High,High,Medium,High,6,0
6,10,3,Sony Xperia 5 II,1,900,8/128,Android,High,High,High,Medium,6,0
7,16,3,Poco X3 ,2,300,8/128,Android,Medium,Medium,Medium,High,6,1
8,34,3,Motorola Razr 5G,3,1300,12/256,Android,Medium,Medium,Low,Low,6,0
9,33,4,Samsung Galaxy S20 Ultra,1,1400,12/256,Android,High,Medium,High,Low,6,0
10,32,4,Honor 9X Pro,2,300,8/128,Android,Medium,Medium,Medium,High,6,1
11,11,4,Motorola Moto G9 Plus,3,200,4/64,Android,Low,Medium,Medium,High,6,0
12,15,5,Xiaomi Mi 10 Lite,1,200,4/64,Android,High,High,Medium,High,6,1
13,38,5,Samsung Galaxy A21s,2,200,4/64,Android,Low,Medium,Medium,High,6,0
14,30,5,Samsung Galaxy A31,3,300,4/64,Android,High,Medium,Low,High,6,0
15,23,6,Oppo Reno 4 Pro,1,700,12/256,Android,High,High,Medium,High,6,1
16,35,6,Google Pixel 4A,2,500,8/128,Android,High,High,Medium,Low,6,0
17,13,6,Xiaomi Mi 10T,3,500,8/128,Android,Medium,High,Medium,Medium,6,0
18,27,7,Asus Zenfone 7,1,600,8/128,Android,Medium,Medium,Medium,Medium,6,0
19,8,7,OnePlus NORD,2,400,8/128,Android,High,High,Medium,Medium,6,1
20,2,7,Apple iPhone 12,3,1000,8/128,iOS,High,High,High,Medium,6,0
21,24,8,Google Pixel 5,1,900,8/128,Android,Medium,High,High,High,6,0
22,29,8,Poco M3,2,200,4/64,Android,Low,Low,Low,High,6,0
23,21,8,Huawei P40,3,400,8/128,Android,Medium,Medium,Medium,High,6,1
24,5,9,Samsung Galaxy Z Flip,1,900,12/256,Android,Medium,Medium,High,Medium,6,0
25,12,9,Motorola Edge,2,400,8/128,Android,High,Medium,Medium,High,6,1
26,22,9,Huawei P40 Lite 5G,3,200,8/128,Android,Medium,Medium,Medium,High,6,0
27,6,10,Samsung Galaxy S20 FE 5G,1,600,8/128,Android,High,High,High,Medium,6,1
28,18,10,Redmi Note 9,2,200,4/64,Android,Low,Low,Low,High,6,0
29,25,10,LG Wing,3,1100,8/128,Android,High,Medium,Medium,Medium,6,0
30,17,11,Poco F2 Pro,1,400,8/128,Android,Medium,Medium,Medium,High,6,1
31,36,11,Oppo Find X2 Neo,2,500,12/256,Android,High,High,Medium,Medium,6,0
32,28,11,Asus ROG Phone 3,3,800,12/256,Android,High,Medium,Medium,High,6,0
33,4,12,Samsung Galaxy Note 20 Ultra,1,1200,12/256,Android,High,Medium,High,Low,6,0
34,1,12,Apple iPhone 12 Pro Max,2,1200,12/256,iOS,High,Medium,High,Medium,6,1
35,7,12,Samsung Galaxy Z Fold 2,3,1400,12/256,Android,High,High,Medium,Medium,6,0
36,9,13,OnePlus 8 Pro,1,800,12/256,Android,High,High,High,Medium,6,0
37,3,13,Apple iPhone 12 Mini,2,700,4/64,iOS,High,High,High,Medium,6,0
38,19,13,Realme X50 Pro,3,500,8/128,Android,High,High,Low,Medium,6,1
0,31,1,Xiaomi Mi Note 10 Lite,1,300,8/128,Android,High,High,Medium,High,7,1
1,37,1,Redmi Note 9 Pro,2,200,4/64,Android,Medium,Medium,Medium,High,7,0
2,14,1,Xiaomi Mi 10,3,500,8/128,Android,Medium,High,Medium,Medium,7,0
3,20,2,Realme 7 Pro,1,300,8/128,Android,High,Medium,Low,High,7,0
4,26,2,LG Velvet,2,400,8/128,Android,Medium,High,Medium,Low,7,0
5,39,2,Samsung Galaxy S10 Lite,3,400,8/128,Android,High,High,Medium,High,7,1
6,10,3,Sony Xperia 5 II,1,900,8/128,Android,High,High,High,Medium,7,0
7,16,3,Poco X3 ,2,300,8/128,Android,Medium,Medium,Medium,High,7,1
8,34,3,Motorola Razr 5G,3,1300,12/256,Android,Medium,Medium,Low,Low,7,0
9,33,4,Samsung Galaxy S20 Ultra,1,1400,12/256,Android,High,Medium,High,Low,7,0
10,32,4,Honor 9X Pro,2,300,8/128,Android,Medium,Medium,Medium,High,7,1
11,11,4,Motorola Moto G9 Plus,3,200,4/64,Android,Low,Medium,Medium,High,7,0
12,15,5,Xiaomi Mi 10 Lite,1,200,4/64,Android,High,High,Medium,High,7,1
13,38,5,Samsung Galaxy A21s,2,200,4/64,Android,Low,Medium,Medium,High,7,0
14,30,5,Samsung Galaxy A31,3,300,4/64,Android,High,Medium,Low,High,7,0
15,23,6,Oppo Reno 4 Pro,1,700,12/256,Android,High,High,Medium,High,7,1
16,35,6,Google Pixel 4A,2,500,8/128,Android,High,High,Medium,Low,7,0
17,13,6,Xiaomi Mi 10T,3,500,8/128,Android,Medium,High,Medium,Medium,7,0
18,27,7,Asus Zenfone 7,1,600,8/128,Android,Medium,Medium,Medium,Medium,7,0
19,8,7,OnePlus NORD,2,400,8/128,Android,High,High,Medium,Medium,7,1
20,2,7,Apple iPhone 12,3,1000,8/128,iOS,High,High,High,Medium,7,0
21,24,8,Google Pixel 5,1,900,8/128,Android,Medium,High,High,High,7,0
22,29,8,Poco M3,2,200,4/64,Android,Low,Low,Low,High,7,0
23,21,8,Huawei P40,3,400,8/128,Android,Medium,Medium,Medium,High,7,1
24,5,9,Samsung Galaxy Z Flip,1,900,12/256,Android,Medium,Medium,High,Medium,7,0
25,12,9,Motorola Edge,2,400,8/128,Android,High,Medium,Medium,High,7,0
26,22,9,Huawei P40 Lite 5G,3,200,8/128,Android,Medium,Medium,Medium,High,7,1
27,6,10,Samsung Galaxy S20 FE 5G,1,600,8/128,Android,High,High,High,Medium,7,1
28,18,10,Redmi Note 9,2,200,4/64,Android,Low,Low,Low,High,7,0
29,25,10,LG Wing,3,1100,8/128,Android,High,Medium,Medium,Medium,7,0
30,17,11,Poco F2 Pro,1,400,8/128,Android,Medium,Medium,Medium,High,7,0
31,36,11,Oppo Find X2 Neo,2,500,12/256,Android,High,High,Medium,Medium,7,1
32,28,11,Asus ROG Phone 3,3,800,12/256,Android,High,Medium,Medium,High,7,0
33,4,12,Samsung Galaxy Note 20 Ultra,1,1200,12/256,Android,High,Medium,High,Low,7,0
34,1,12,Apple iPhone 12 Pro Max,2,1200,12/256,iOS,High,Medium,High,Medium,7,1
35,7,12,Samsung Galaxy Z Fold 2,3,1400,12/256,Android,High,High,Medium,Medium,7,0
36,9,13,OnePlus 8 Pro,1,800,12/256,Android,High,High,High,Medium,7,1
37,3,13,Apple iPhone 12 Mini,2,700,4/64,iOS,High,High,High,Medium,7,0
38,19,13,Realme X50 Pro,3,500,8/128,Android,High,High,Low,Medium,7,0
0,31,1,Xiaomi Mi Note 10 Lite,1,300,8/128,Android,High,High,Medium,High,8,1
1,37,1,Redmi Note 9 Pro,2,200,4/64,Android,Medium,Medium,Medium,High,8,0
2,14,1,Xiaomi Mi 10,3,500,8/128,Android,Medium,High,Medium,Medium,8,0
3,20,2,Realme 7 Pro,1,300,8/128,Android,High,Medium,Low,High,8,0
4,26,2,LG Velvet,2,400,8/128,Android,Medium,High,Medium,Low,8,0
5,39,2,Samsung Galaxy S10 Lite,3,400,8/128,Android,High,High,Medium,High,8,1
6,10,3,Sony Xperia 5 II,1,900,8/128,Android,High,High,High,Medium,8,0
7,16,3,Poco X3 ,2,300,8/128,Android,Medium,Medium,Medium,High,8,1
8,34,3,Motorola Razr 5G,3,1300,12/256,Android,Medium,Medium,Low,Low,8,0
9,33,4,Samsung Galaxy S20 Ultra,1,1400,12/256,Android,High,Medium,High,Low,8,0
10,32,4,Honor 9X Pro,2,300,8/128,Android,Medium,Medium,Medium,High,8,1
11,11,4,Motorola Moto G9 Plus,3,200,4/64,Android,Low,Medium,Medium,High,8,0
12,15,5,Xiaomi Mi 10 Lite,1,200,4/64,Android,High,High,Medium,High,8,1
13,38,5,Samsung Galaxy A21s,2,200,4/64,Android,Low,Medium,Medium,High,8,0
14,30,5,Samsung Galaxy A31,3,300,4/64,Android,High,Medium,Low,High,8,0
15,23,6,Oppo Reno 4 Pro,1,700,12/256,Android,High,High,Medium,High,8,1
16,35,6,Google Pixel 4A,2,500,8/128,Android,High,High,Medium,Low,8,0
17,13,6,Xiaomi Mi 10T,3,500,8/128,Android,Medium,High,Medium,Medium,8,0
18,27,7,Asus Zenfone 7,1,600,8/128,Android,Medium,Medium,Medium,Medium,8,0
19,8,7,OnePlus NORD,2,400,8/128,Android,High,High,Medium,Medium,8,1
20,2,7,Apple iPhone 12,3,1000,8/128,iOS,High,High,High,Medium,8,0
21,24,8,Google Pixel 5,1,900,8/128,Android,Medium,High,High,High,8,0
22,29,8,Poco M3,2,200,4/64,Android,Low,Low,Low,High,8,0
23,21,8,Huawei P40,3,400,8/128,Android,Medium,Medium,Medium,High,8,1
24,5,9,Samsung Galaxy Z Flip,1,900,12/256,Android,Medium,Medium,High,Medium,8,0
25,12,9,Motorola Edge,2,400,8/128,Android,High,Medium,Medium,High,8,0
26,22,9,Huawei P40 Lite 5G,3,200,8/128,Android,Medium,Medium,Medium,High,8,1
27,6,10,Samsung Galaxy S20 FE 5G,1,600,8/128,Android,High,High,High,Medium,8,1
28,18,10,Redmi Note 9,2,200,4/64,Android,Low,Low,Low,High,8,0
29,25,10,LG Wing,3,1100,8/128,Android,High,Medium,Medium,Medium,8,0
30,17,11,Poco F2 Pro,1,400,8/128,Android,Medium,Medium,Medium,High,8,0
31,36,11,Oppo Find X2 Neo,2,500,12/256,Android,High,High,Medium,Medium,8,1
32,28,11,Asus ROG Phone 3,3,800,12/256,Android,High,Medium,Medium,High,8,0
